Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""5defe88a-5d68-4b7d-9f7e-30d4c84bd00c""","""Alex Ford Azure Account""","""be6226b6-194c-4a44-8203-e81926e6af9d""","""Visual Studio Professional with MSDN""",0,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
7/27/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/27/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/27/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/27/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/27/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/27/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/27/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/27/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/27/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/27/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000442,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/27/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/27/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/27/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.550500,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/28/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000418,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/28/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/28/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564918,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/28/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/28/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/28/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/28/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/28/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/28/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/28/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/28/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/28/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/28/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/28/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000423,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/28/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/28/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/28/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.706900,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/29/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000430,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/29/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/29/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564416,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/29/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/29/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/29/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/29/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/29/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/29/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/29/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/29/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/29/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/29/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/29/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000456,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/29/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/29/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/29/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.684500,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/30/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000372,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/30/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/30/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564422,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/30/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/30/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/30/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/30/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/30/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/30/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/30/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/30/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/30/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/30/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/30/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.001210,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/30/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/30/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/30/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",10.999400,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/31/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000481,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/31/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/31/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564317,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/31/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/31/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/31/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/31/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/31/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/31/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/31/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/31/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/31/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/31/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/31/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000428,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/31/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/31/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/31/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.412000,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
8/1/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000355,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
8/1/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
8/1/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564289,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
8/1/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
8/1/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
8/1/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
8/1/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
8/1/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
8/1/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
8/1/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
8/1/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
8/1/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
8/1/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
8/1/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000417,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
8/1/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
8/1/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
8/1/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.379500,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
8/2/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000393,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
8/2/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
8/2/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.564222,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
8/2/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
8/2/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
8/2/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
8/2/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
